vo_pair,mean_abs_diff,basic_nfunction_types,lexical_density_tokens,log_ttr_aw,log_ttr_cw,maas_ttr_aw,maas_ttr_cw,maas_ttr_fw,mattr50_fw,msttr50_fw,hdd42_fw,mtld_original_fw,mtld_ma_bi_fw,mtld_ma_wrap_cw,mtld_ma_wrap_fw,basic_ntypes,basic_ncontent_types,lexical_density_types,simple_ttr_aw,simple_ttr_cw,simple_ttr_fw,root_ttr_aw,root_ttr_cw,root_ttr_fw,log_ttr_fw,mattr50_aw,msttr50_aw,msttr50_cw,hdd42_aw,mtld_original_aw,mtld_original_cw,mtld_ma_bi_aw,mtld_ma_wrap_aw,mattr50_cw,mtld_ma_bi_cw,basic_ntokens,basic_ncontent_tokens,basic_nfunction_tokens,hdd42_cw
understand problem / grasp problem,1.0081361671511049,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in literal,higher in literal,higher in literal,
understand situation / grasp situation,1.2785820513360704,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,
understand reason / grasp reason,1.222597862268999,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,higher in literal,,,,,,higher in literal,higher in literal,higher in literal,higher in literal,,
understand language / grasp language,1.089266642390639,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,
understand idea / grasp idea,0.7947814273504256,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,,higher in literal,,,,,,,,higher in metaphorical,higher in metaphorical,,higher in literal,,,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,,,higher in metaphorical,
understand risk / grasp risk,2.0980144817283275,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,,,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,
understand question / grasp question,1.443928040109406,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,,,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,,,higher in literal,,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,
manage job / juggle job,1.125812158027639,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal
manage project / juggle project,1.7942935883986701,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,,,higher in literal,higher in literal,higher in literal,
manage work / juggle work,1.4083791572375073,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal
manage life / juggle life,1.2841188852088505,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,,,,,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal
manage career / juggle career,1.4434560613492435,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,,,,higher in metaphorical,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal
manage school / juggle school,1.6385568957535652,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,,,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal
cancel proposal / kill proposal,1.3439464949412268,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,
cancel project / kill project,0.938078404769823,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,
cancel bill / kill bill,0.8246355317763572,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,,higher in metaphorical,,,,,,higher in metaphorical,,higher in literal,higher in literal,,,,,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical
cancel process / kill process,1.093796538539894,,higher in literal,,,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal
cancel agreement / kill agreement,1.89413334703198,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal
cancel deal / kill deal,0.716493039381294,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,higher in metaphorical,,,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,,higher in metaphorical,,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,
disclose report / leak report,0.9100729789812444,,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,,,,,higher in metaphorical,,,,,,higher in literal,higher in literal,,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,
disclose information / leak information,1.1146240005809687,higher in metaphorical,,higher in literal,higher in literal,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,
disclose document / leak document,1.764007358313765,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical
disclose story / leak story,0.6594290892706859,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in metaphorical,,,,,,higher in metaphorical,,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical
organise production / mount production,0.7925097065576096,higher in metaphorical,,higher in literal,higher in literal,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,,,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical
organise campaign / mount campaign,0.6328274282280175,,higher in metaphorical,higher in metaphorical,,higher in literal,,higher in literal,,higher in literal,,higher in metaphorical,,,higher in metaphorical,,,higher in literal,higher in metaphorical,,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,,
organise conference / mount conference,1.1761347891733291,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in metaphorical
organise exhibition / mount exhibition,1.3400148285194287,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical
organise demonstration / mount demonstration,1.5420159444069643,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,,higher in literal,,,,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,
organise protest / mount protest,1.5336294855183334,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,,,,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,higher in metaphorical,,,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,
organize production / mount production,1.3404963438021185,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,,,,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,,,higher in literal,
organize event / mount event,1.2722883256859412,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,
organize conference / mount conference,1.347594388651744,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,,higher in literal,higher in literal,,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,
organize exhibition / mount exhibition,0.8994084241835295,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,,higher in literal,higher in literal,,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,
organize demonstration / mount demonstration,1.6254724424800766,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,
organize protest / mount protest,1.1233573095924665,,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,
corrupt mind / poison mind,0.6289041329583347,,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,higher in metaphorical,,,,,,,,,,,higher in metaphorical,,,,,,higher in literal,,
corrupt system / poison system,0.9878977610289299,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,higher in literal,higher in literal,higher in literal,
corrupt process / poison process,0.9656167410883576,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,,,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,,
corrupt soul / poison soul,1.632224151776128,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,,,higher in literal,,,,higher in literal,higher in literal,higher in literal,higher in literal,
corrupt relationship / poison relationship,1.058293509425999,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,,,higher in literal,,,,higher in literal,higher in literal,higher in literal,higher in literal,
invest money / pour money,0.9032855146677322,,higher in literal,,,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,,,,,,,,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,,,,
invest fortune / pour fortune,1.860063961140326,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,
sell drug / push drug,1.1501011318813816,,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,,higher in literal,higher in literal,,
recall feeling / recapture feeling,1.2660267403116154,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,
recall memory / recapture memory,1.1037545858974225,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,,,,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,higher in literal
recall moment / recapture moment,0.851374820542511,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in metaphorical,,,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,higher in literal,higher in literal,,,,,higher in literal,,,,
recall experience / recapture experience,0.9011549946827776,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,,,higher in literal,higher in literal,,higher in literal,,,,
damage confidence / shake confidence,0.5540557731335841,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,,,,,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,,higher in metaphorical,,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,
damage foundation / shake foundation,1.4379896293050691,higher in metaphorical,,higher in literal,higher in literal,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,
determine result / shape result,1.3268843159218717,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,,higher in metaphorical,higher in literal,,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,
determine life / shape life,1.2848785196018724,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,
determine outcome / shape outcome,1.2205384890630486,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in literal,higher in metaphorical,,higher in literal,higher in literal,higher in literal,
determine success / shape success,0.6971020404272422,higher in literal,higher in metaphorical,,,,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,,,,higher in metaphorical,,,higher in literal,higher in literal,,,higher in metaphorical,,,,higher in metaphorical,,,higher in metaphorical,,,,,,
determine strategy / shape strategy,0.679449165054432,higher in literal,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,,,,higher in literal,higher in literal,,,,,higher in metaphorical,,higher in metaphorical,,,,higher in metaphorical,,,,,higher in metaphorical
