vo_pair,mean_abs_diff,lemma_ttr,lexical_density_tokens,content_ttr,function_mattr,noun_ttr,verb_ttr,adj_ttr,adv_ttr,prp_ttr,argument_ttr,bigram_lemma_ttr,trigram_lemma_ttr,adjacent_overlap_binary_all_sent,adjacent_overlap_binary_2_all_sent,adjacent_overlap_cw_sent,adjacent_overlap_binary_cw_sent,adjacent_overlap_2_cw_sent,adjacent_overlap_binary_fw_sent,adjacent_overlap_2_fw_sent,adjacent_overlap_binary_2_fw_sent,adjacent_overlap_binary_noun_sent,adjacent_overlap_binary_2_noun_sent,adjacent_overlap_verb_sent_div_seg,adjacent_overlap_binary_verb_sent,adjacent_overlap_2_verb_sent,adjacent_overlap_2_verb_sent_div_seg,adjacent_overlap_binary_2_verb_sent,adjacent_overlap_adv_sent,adjacent_overlap_adv_sent_div_seg,adjacent_overlap_binary_adv_sent,adjacent_overlap_2_adv_sent,adjacent_overlap_2_adv_sent_div_seg,adjacent_overlap_binary_2_adv_sent,adjacent_overlap_pronoun_sent,adjacent_overlap_pronoun_sent_div_seg,adjacent_overlap_binary_pronoun_sent,adjacent_overlap_2_pronoun_sent,adjacent_overlap_2_pronoun_sent_div_seg,adjacent_overlap_binary_2_pronoun_sent,adjacent_overlap_argument_sent,adjacent_overlap_binary_argument_sent,adjacent_overlap_binary_2_argument_sent,adjacent_overlap_cw_para,adjacent_overlap_cw_para_div_seg,adjacent_overlap_2_cw_para,adjacent_overlap_2_cw_para_div_seg,adjacent_overlap_verb_para_div_seg,adjacent_overlap_binary_verb_para,adjacent_overlap_2_verb_para,adjacent_overlap_2_verb_para_div_seg,adjacent_overlap_binary_2_verb_para,adjacent_overlap_binary_2_adj_para,adjacent_overlap_adv_para,adjacent_overlap_adv_para_div_seg,adjacent_overlap_binary_adv_para,adjacent_overlap_2_adv_para,adjacent_overlap_2_adv_para_div_seg,adjacent_overlap_binary_2_adv_para,adjacent_overlap_pronoun_para,adjacent_overlap_pronoun_para_div_seg,adjacent_overlap_binary_pronoun_para,adjacent_overlap_2_pronoun_para,adjacent_overlap_2_pronoun_para_div_seg,adjacent_overlap_binary_2_pronoun_para,adjacent_overlap_argument_para,adjacent_overlap_argument_para_div_seg,syn_overlap_sent_noun,syn_overlap_sent_verb,syn_overlap_para_noun,syn_overlap_para_verb,disjunctions,lexical_subordinators,reason_and_purpose,all_demonstratives,attended_demonstratives,unattended_demonstratives,all_additive,all_logical,positive_logical,all_negative,pronoun_density,pronoun_noun_ratio,repeated_content_lemmas,repeated_content_and_pronoun_lemmas,lexical_density_types,function_ttr,adjacent_overlap_all_sent,adjacent_overlap_all_sent_div_seg,adjacent_overlap_2_all_sent,adjacent_overlap_2_all_sent_div_seg,adjacent_overlap_binary_2_cw_sent,adjacent_overlap_fw_sent_div_seg,adjacent_overlap_verb_sent,adjacent_overlap_2_adj_sent,adjacent_overlap_2_adj_sent_div_seg,adjacent_overlap_binary_2_adj_sent,adjacent_overlap_all_para,adjacent_overlap_all_para_div_seg,adjacent_overlap_2_all_para,adjacent_overlap_2_all_para_div_seg,adjacent_overlap_fw_para_div_seg,adjacent_overlap_binary_fw_para,adjacent_overlap_2_fw_para_div_seg,adjacent_overlap_2_noun_para,adjacent_overlap_verb_para,adjacent_overlap_2_adj_para,adjacent_overlap_2_adj_para_div_seg,lsa_2_all_para,lda_1_all_sent,lda_2_all_sent,lda_1_all_para,basic_connectives,conjunctions,addition,positive_causal,opposition,negative_logical,all_temporal,positive_intentional,all_positive,all_connective,lemma_mattr,adjacent_overlap_cw_sent_div_seg,adjacent_overlap_2_cw_sent_div_seg,adjacent_overlap_fw_sent,adjacent_overlap_fw_para,adjacent_overlap_2_fw_para,adjacent_overlap_noun_para_div_seg,adjacent_overlap_2_noun_para_div_seg,lsa_1_all_sent,lsa_1_all_para,coordinating_conjuncts,all_causal,determiners,adjacent_overlap_2_fw_sent_div_seg,adjacent_overlap_noun_sent,adjacent_overlap_2_noun_sent,adjacent_overlap_adj_sent,adjacent_overlap_adj_sent_div_seg,adjacent_overlap_binary_adj_sent,adjacent_overlap_argument_sent_div_seg,adjacent_overlap_2_argument_sent_div_seg,adjacent_overlap_noun_para,adjacent_overlap_adj_para,adjacent_overlap_adj_para_div_seg,adjacent_overlap_binary_adj_para,adjacent_overlap_2_argument_para_div_seg,lda_2_all_para,word2vec_1_all_sent,word2vec_2_all_sent,word2vec_1_all_para,word2vec_2_all_para,sentence_linking,order,adjacent_overlap_noun_sent_div_seg,adjacent_overlap_2_noun_sent_div_seg,lsa_2_all_sent,adjacent_overlap_binary_noun_para,adjacent_overlap_binary_argument_para,adjacent_overlap_2_argument_sent,adjacent_overlap_binary_cw_para,adjacent_overlap_2_argument_para,adjacent_overlap_binary_all_para,adjacent_overlap_binary_2_fw_para,adjacent_overlap_binary_2_noun_para,adjacent_overlap_binary_2_argument_para,adjacent_overlap_binary_2_cw_para,adjacent_overlap_binary_2_all_para
pay tax / absorb tax,1.3123250174589847,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in metaphorical,,,,,higher in literal,higher in metaphorical,higher in literal,,,,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,,,higher in literal,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in metaphorical,,higher in metaphorical,,,higher in metaphorical,higher in literal,higher in literal,,,,higher in literal,,higher in literal,,higher in metaphorical,,,,
pay debt / absorb debt,0.7992491009046652,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in literal,,,,,,,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,,,,,,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,,higher in literal,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,,higher in literal,higher in literal,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in literal,higher in literal,,higher in metaphorical,higher in literal,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,,,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,,,,,,higher in literal,higher in literal,,,higher in metaphorical,,,higher in literal,,higher in literal,,,,,,
pay interest / absorb interest,1.2494601906004668,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in literal,,,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,,,higher in literal,higher in literal,,higher in literal,,higher in literal,higher in literal,higher in literal,,higher in literal,,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,,,higher in metaphorical,,,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in literal,,higher in literal,,,,,,
pay expense / absorb expense,0.9200499396034748,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,,,,,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,,,,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,,higher in metaphorical,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in literal,,,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,,higher in metaphorical,higher in metaphorical,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,,,higher in literal,,higher in literal,,,,,,
misuse alcohol / abuse alcohol,0.9919939965734945,,higher in literal,,higher in metaphorical,,,,higher in literal,,,,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,higher in literal,,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,higher in literal,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,,,higher in literal,,higher in literal,,,,
misuse drug / abuse drug,0.6738546488164013,,,,higher in metaphorical,,,,,,,,,,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,,,,,,,,,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,,,,,,,,,,higher in literal,higher in literal,,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,,higher in literal,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,,higher in literal,higher in literal,higher in literal,,,higher in literal,,higher in literal,,,,,,
misuse substance / abuse substance,0.98663708567148,,higher in literal,,higher in metaphorical,,,,,,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,,,higher in literal,,,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,,higher in literal,,,,higher in literal,,higher in literal,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in metaphorical,higher in metaphorical,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,higher in metaphorical,,higher in literal,higher in literal,,,,higher in literal,,higher in literal,,higher in metaphorical,,,,
misuse medication / abuse medication,1.1121165129915749,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,,,,higher in metaphorical,higher in metaphorical,,higher in literal,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in literal,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in literal,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,,higher in literal,,,higher in literal,higher in metaphorical,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,,higher in literal,,,,higher in metaphorical,higher in literal,,higher in literal,,,,higher in metaphorical,,higher in metaphorical,,,,,,
misuse product / abuse product,0.6488202338083962,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,,higher in metaphorical,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,,higher in metaphorical,higher in literal,,,,,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,,,,higher in metaphorical,,,,,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,,,,,,,higher in literal,,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,,higher in literal,,higher in metaphorical,,,higher in literal,,higher in literal,,higher in metaphorical,,,,,,higher in literal,,higher in metaphorical,,,higher in literal,higher in metaphorical,,,higher in literal,higher in metaphorical,,higher in metaphorical,,higher in metaphorical,,higher in literal,higher in metaphorical,higher in metaphorical,,,higher in literal,,higher in metaphorical,higher in literal,higher in literal,,,,higher in literal,higher in literal,,,,higher in literal,higher in literal,,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,,,,higher in literal,,,,,,,,higher in literal,higher in literal,higher in literal,,,higher in literal,,higher in literal,,,,,,
address issue / attack issue,0.5722867565690811,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,,,,,,higher in metaphorical,,higher in metaphorical,,,higher in metaphorical,,,,higher in literal,,,higher in literal,,,higher in metaphorical,,,higher in metaphorical,,higher in metaphorical,,,,higher in metaphorical,,higher in metaphorical,,,,,,,,higher in literal,,,higher in literal,,,higher in metaphorical,,higher in literal,,higher in literal,,,higher in metaphorical,higher in metaphorical,,,,,,higher in metaphorical,,,,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,,higher in literal,,higher in literal,higher in metaphorical,,higher in literal,,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,,higher in literal,higher in literal,,,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,,,,higher in literal,higher in literal,higher in literal,,,,,,,,higher in literal,higher in metaphorical,higher in metaphorical,,,,,,higher in metaphorical,,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,,,,,,,higher in metaphorical,,higher in metaphorical,,,,,,
